TYPE ECA
VALUE tg
CN DE
DATE 20160518





STAID SOUID STANAME VAL VALQ LAT LON HIGH
4017 121296 BAD-HEILIGENDAMMDOBERAN -9999 9 54.1407 11.8413 3 
4018 121308 DOBERLUG-KIRCHHAIN 13.5 0 51.6413 13.5727 97 
4019 121320 DOMITZ -9999 9 53.1382 11.2533 15 
4020 122712 GEISINGEN 10.9 0 47.9217 8.64217 672 
4021 121344 DORTMUND -9999 9 51.5078 7.5345 120 
4022 121356 DRESDEN-HOSTERWITZ 13.8 0 51.0207 13.843 114 
4023 121368 DRESDEN-STREHLEN 14.1 0 51.0218 13.772 119 
4024 121380 DREWITZBEIBURG 14.1 0 52.2177 12.159 80 
4025 121392 DUDERSTADT -9999 9 51.5032 10.2575 180 
4026 121404 BADDURKHEIM 15.1 0 49.4703 8.18967 107 
4027 121404 BADDURKHEIM 15.1 0 49.4703 8.18967 107 
4028 121428 BADDURRENBERG -9999 9 51.3033 12.0762 103 
4029 102270 DUSSELDORF 14.8 0 51.2915 6.76867 37 
4030 102270 DUSSELDORF 14.8 0 51.2915 6.76867 37 
4031 122100 DUISBURG-BAERL 14.3 0 51.506 6.70117 25 
4032 121476 EBELEBEN -9999 9 51.2757 10.7358 258 
4033 121488 EBERBACH/NECKAR -9999 9 49.4535 8.97417 176 
4034 121500 EBERSBACH/FILS -9999 9 48.7192 9.53367 300 
4035 121512 EBERSBERG-HALBING 11.6 0 48.1005 11.9863 592 
4036 121524 EBERSWALDE -9999 9 52.8218 13.793 45 
4037 121536 EBRACH 12 0 49.8518 10.5002 346 
4038 121548 EGGEBEK -9999 9 54.6243 9.36683 18 
4039 127728 RENNINGEN-IHINGERHOF 12.4 0 48.7393 8.92167 478 
4040 121572 EIBERG -9999 9 48.3388 12.8833 470 
4041 121584 EICHSTATT-LANDERSHOFEN 10.1 0 48.874 11.2348 384 
4042 907299  14.1 0 -9999 -9999 -9999 
4043 121608 EINBECK -9999 9 51.8188 9.88617 123 
4044 121620 EISLEBEN-HELFTA -9999 9 51.5025 11.5697 146 
4046 121644 ELGERSBURG -9999 9 50.7032 10.8553 518 
4047 121656 ELLWANGEN-RINDELBACH 11.7 0 48.9875 10.1257 460 
4048 121668 ELPERSBUTTEL 12.5 0 54.0692 9.00683 3 
4049 121680 ELSDORF/ERFTKREIS -9999 9 50.9242 6.55917 85 
4050 121692 ELSFLETH -9999 9 53.2348 8.45717 1 
4051 121704 BAD-SOHLELSTER 10.5 0 50.2697 12.2718 560 
4052 121716 ELZACH-FISNACHT 13 0 48.2012 8.10567 440 
4053 102230 EMDEN-FLUGPLATZ 13.3 0 53.3868 7.22267 0 
4054 102230 EMDEN-FLUGPLATZ 13.3 0 53.3868 7.22267 0 
4055 121752 EMMENDINGEN-MUNDINGEN 14.8 0 48.1363 7.83467 201 
4056 910516 KOBLENZFALCKENSTEIN-KASERNE 15.4 0 50.3667 7.5765 97 
4057 121776 ENGELSKIRCHEN -9999 9 50.987 7.422 144 
4058 121788 ENGEN/HEGAU -9999 9 47.8515 8.7675 540 
4059 121800 ENINGEN -9999 9 48.4712 9.30233 705 
4060 121824 EPPINGEN-ELSENZ 12.8 0 49.1672 8.85183 220 
4061 121824 EPPINGEN-ELSENZ 12.8 0 49.1672 8.85183 220 
4062 121836 ALTENSTADT 11 0 47.8352 10.8698 756 
4063 121848 ERFDE 12.8 0 54.3005 9.31683 18 
4064 128856 SIMBACH/INN 12.5 0 48.2703 13.024 360 
4065 121872 ERISKIRCH-MARIABRUNN -9999 9 47.6353 9.5375 408 
4066 121884 MOHRENDORF-KLEINSEEBACH 13 0 49.6503 11.005 268 
4067 121884 MOHRENDORF-KLEINSEEBACH 13 0 49.6503 11.005 268 
4068 121908 ESCHAU-HOBBACH -9999 9 49.856 9.2855 198 
4069 126624 NEUSTADTAMKULM-FILCHENDORF 10.6 0 49.8177 11.8592 452 
4070 121932 ESCHWEGE 12.5 0 51.184 10.059 170 
4071 130416 WITTMUNDHAFEN 13.1 0 53.55 7.66667 8 
4072 121956 ALTENTREPTOW -9999 9 53.6862 13.2578 30 
4073 121968 ESLOHE 12.4 0 51.2532 8.15417 351 
4074 121980 ESSEN-BREDENEY 13.8 0 51.4033 6.96767 150 
4075 121992 ALTGERINGSWALDE 12.5 0 51.0868 12.9338 296 
4076 122004 WEILERSWIST-LOMMERSUM 14.4 0 50.7078 6.78833 146 
4077 122016 EUTIN -9999 9 54.1347 10.586 50 
4078 122028 ALTGLASHUTTE -9999 9 49.7707 12.3877 750 
4079 122040 KR.ROTTAL-INNFALKENBERG 12.2 0 48.4838 12.722 472 
4080 122052 FASSBERG 11.2 0 52.9182 10.1837 73 
4081 102203 WESTERMARKELSDORF/FEHMARN 12.1 0 54.5243 11.057 3 
4082 132024 FELDBERG/MECKLENBURG 11.9 0 53.3172 13.4172 115 
4083 122088 FICHTELBERG/OBERFRANKEN-HUTTSTADL 9.2 0 49.9757 11.8368 657 
4084 122100 DUISBURG-BAERL 14.3 0 51.506 6.70117 25 
4085 122112 WAIBSTADT 13.6 0 49.2905 8.90383 237 
4086 122124 HAMELN-HASTENBECK 12.5 0 52.0765 9.40483 77 
4087 122136 WALTROP-ABDINGHOF 13.9 0 51.5922 7.40333 68 
4088 122148 GEVELSBERG-OBERBROKING 14.1 0 51.3338 7.33833 205 
4089 122160 LANDSHUT-REITHOF 11.9 0 48.5712 12.2553 490 
4090 122172 ROCKENDORF 13.6 0 50.6762 11.5098 280 
4091 122184 MEINERZHAGEN-REDLENDORF 12.2 0 51.0878 7.62433 380 
4092 122196 FLADUNGEN-HEUFURT -9999 9 50.5035 10.1675 363 
4093 122208 HILDESHEIM-DRISPENSTEDT -9999 9 52.1748 9.952 85 
4094 122220 HELMSTEDT-EMMERSTEDT 12.8 0 52.242 10.9562 110 
4095 122856 GLUCKSBURG-MEIERWIK 12 0 54.8427 9.50483 27 
4096 122856 GLUCKSBURG-MEIERWIK 12 0 54.8427 9.50483 27 
4097 122856 GLUCKSBURG-MEIERWIK 12 0 54.8427 9.50483 27 
4099 122280 NORDSEEBOJE2 -9999 9 55 6.3265 3 
4100 122292 FLOSSENBURG -9999 9 49.7263 12.3503 622 
4101 122304 FRAMMERSBACH -9999 9 50.0577 9.4535 260 
4102 122316 BADFRANKENHAUSEN/KYFFHAUSER -9999 9 51.3515 11.0915 130 
4103 122328 BIRX/RHON 10.3 0 50.5257 10.0428 745 
4104 122340 FALKENBERG(GRENZSCHICHTMESSFELD) -9999 9 52.1667 14.1212 73 
4105 122364 FRANKFURT/MAIN-WESTEND 15.5 0 50.1235 8.66883 124 
4106 122364 FRANKFURT/MAIN-WESTEND 15.5 0 50.1235 8.66883 124 
4107 122364 FRANKFURT/MAIN-WESTEND 15.5 0 50.1235 8.66883 124 
4108 122388 FRANKFURT/ODER -9999 9 52.3592 14.536 48 
4109 122400 FRANKWEILER -9999 9 49.2237 8.0555 230 
4110 122412 ALTOMUNSTER-MAISBRUNN 12 0 48.404 11.3078 510 
4111 122424 HERSDORF-WEISSENSEIFEN -9999 9 50.151 6.55183 530 
4112 122436 FREIAMT-OTTOSCHWANDEN -9999 9 48.2017 7.93383 481 
4113 122448 FREIBERG -9999 9 50.9235 13.3367 380 
4114 122460 FREIBURG 14.4 0 48.0212 7.8345 236 
