TYPE ECA
VALUE rr
CN DE
DATE 20160518





STAID SOUID STANAME VAL VALQ LAT LON HIGH
4010 121210 FURSTENZELL 0 0 48.5408 13.3527 476 
4011 121222 HAHN 0.5 0 49.9418 7.25867 497 
4012 121234 MANNHEIM 2.2 0 49.506 8.553 96 
4013 121246 OFFENBACH-WETTERPARK 0.8 0 50.0868 8.78517 119 
4014 121258 COTTBUS 0 0 51.7732 14.3177 69 
4015 121270 CUXHAVEN 0 0 53.8705 8.704 5 
4016 121282 UFSDEUTSCHEBUCHT -9999 9 54.1667 7.45 0 
4017 121294 BAD-HEILIGENDAMMDOBERAN -9999 9 54.1407 11.8413 3 
4018 121306 DOBERLUG-KIRCHHAIN 0 0 51.6413 13.5727 97 
4020 122710 GEISINGEN 2.6 0 47.9217 8.64217 672 
4021 121342 DORTMUND -9999 9 51.5078 7.5345 120 
4022 121354 DRESDEN-HOSTERWITZ 0 1 51.0207 13.843 114 
4023 121366 DRESDEN-STREHLEN 0 1 51.0218 13.772 119 
4024 121378 DREWITZBEIBURG 0 0 52.2177 12.159 80 
4025 121390 DUDERSTADT -9999 9 51.5032 10.2575 180 
4026 121402 BADDURKHEIM 0.3 0 49.4703 8.18967 107 
4027 121402 BADDURKHEIM 0.3 0 49.4703 8.18967 107 
4029 102268 DUSSELDORF 0.9 0 51.2915 6.76867 37 
4030 102268 DUSSELDORF 0.9 0 51.2915 6.76867 37 
4031 122098 DUISBURG-BAERL 2 0 51.506 6.70117 25 
4032 121474 EBELEBEN -9999 9 51.2757 10.7358 258 
4033 121486 EBERBACH/NECKAR -9999 9 49.4535 8.97417 176 
4034 121498 EBERSBACH/FILS -9999 9 48.7192 9.53367 300 
4035 121510 EBERSBERG-HALBING 11.3 0 48.1005 11.9863 592 
4037 121534 EBRACH 0.2 0 49.8518 10.5002 346 
4038 121546 EGGEBEK -9999 9 54.6243 9.36683 18 
4039 127726 RENNINGEN-IHINGERHOF 4.4 0 48.7393 8.92167 478 
4040 121570 EIBERG -9999 9 48.3388 12.8833 470 
4041 121582 EICHSTATT-LANDERSHOFEN 1.3 0 48.874 11.2348 384 
4042 907299 EIMELDINGEN 2.8 0 -9999 -9999 -9999 
4043 121606 EINBECK -9999 9 51.8188 9.88617 123 
4044 121618 EISLEBEN-HELFTA -9999 9 51.5025 11.5697 146 
4046 121642 ELGERSBURG -9999 9 50.7032 10.8553 518 
4047 121654 ELLWANGEN-RINDELBACH 0.2 0 48.9875 10.1257 460 
4048 121666 ELPERSBUTTEL 0 0 54.0692 9.00683 3 
4049 121678 ELSDORF/ERFTKREIS -9999 9 50.9242 6.55917 85 
4050 121690 ELSFLETH -9999 9 53.2348 8.45717 1 
4051 121702 BAD-SOHLELSTER 0 0 50.2697 12.2718 560 
4052 121714 ELZACH-FISNACHT 10.9 0 48.2012 8.10567 440 
4053 102228 EMDEN-FLUGPLATZ 0 0 53.3868 7.22267 0 
4054 102228 EMDEN-FLUGPLATZ 0 0 53.3868 7.22267 0 
4055 121750 EMMENDINGEN-MUNDINGEN 11.2 0 48.1363 7.83467 201 
4056 121762 BADEMS -9999 9 50.3333 7.69217 90 
4057 121774 ENGELSKIRCHEN -9999 9 50.987 7.422 144 
4058 121786 ENGEN/HEGAU -9999 9 47.8515 8.7675 540 
4059 121798 ENINGEN -9999 9 48.4712 9.30233 705 
4060 121822 EPPINGEN-ELSENZ 2.6 0 49.1672 8.85183 220 
4061 121822 EPPINGEN-ELSENZ 2.6 0 49.1672 8.85183 220 
4062 121834 ALTENSTADT 1.6 0 47.8352 10.8698 756 
4063 121846 ERFDE 0 0 54.3005 9.31683 18 
4064 128854 SIMBACH/INN 0 0 48.2703 13.024 360 
4065 121870 ERISKIRCH-MARIABRUNN -9999 9 47.6353 9.5375 408 
4066 121882 MOHRENDORF-KLEINSEEBACH 2 0 49.6503 11.005 268 
4067 121882 MOHRENDORF-KLEINSEEBACH 2 0 49.6503 11.005 268 
4068 121906 ESCHAU-HOBBACH -9999 9 49.856 9.2855 198 
4069 126622 NEUSTADTAMKULM-FILCHENDORF 0.3 0 49.8177 11.8592 452 
